normalized_name,avg_sentiment,mention_count,sentiment_std,latitude,longitude,chronological_order,arrival_time,departure_time
Chicago,0.212,8,0.142,41.876,-87.624,1,1895-08-18T00:00:00Z,1895-08-19T00:00:00Z
Glaciers,-0.012,3,0.035,51.304,-117.519,2,1895-08-22T00:00:00Z,1895-08-23T00:00:00Z
Vancouver,0.126,5,0.199,49.261,-123.114,3,1895-08-24T00:00:00Z,1895-08-26T00:00:00Z
Yokohama,0.334,11,0.262,35.444,139.637,4,1895-09-09T00:00:00Z,1895-09-10T00:00:00Z
Niko,0.094,5,0.216,36.72,139.698,5,1895-09-11T00:00:00Z,1895-09-12T00:00:00Z
Tokio,0.194,4,0.179,35.677,139.764,6,1895-09-13T00:00:00Z,1895-09-14T00:00:00Z
Kobe,0.052,3,0.132,34.693,135.194,7,1895-09-17T00:00:00Z,1895-09-18T00:00:00Z
Nagasaki,0.03,3,0.137,33.115,129.787,8,1895-10-01T00:00:00Z,1895-10-02T00:00:00Z
Shanghai,0.239,2,0.056,31.231,121.47,9,1895-10-04T00:00:00Z,1895-10-07T00:00:00Z
Hongkong,0.05,7,0.19,22.351,114.185,10,1895-10-08T00:00:00Z,1895-10-09T00:00:00Z
Canton,0.125,7,0.147,23.13,113.259,11,1895-10-10T00:00:00Z,1895-10-11T00:00:00Z
Saigon,0.125,3,0.193,10.776,106.701,12,1895-10-19T00:00:00Z,1895-10-20T00:00:00Z
Singapore,0.202,2,0.049,1.357,103.819,13,1895-10-22T00:00:00Z,1895-10-23T00:00:00Z
Kandy,0.183,5,0.113,7.293,80.635,14,1895-10-30T00:00:00Z,1895-11-01T00:00:00Z
Calcutta,0.209,11,0.212,22.573,88.364,15,1895-11-05T00:00:00Z,1895-11-17T00:00:00Z
Benares,0.172,8,0.251,25.336,83.008,16,1895-11-18T00:00:00Z,1895-11-19T00:00:00Z
Aigra,0.252,3,0.075,27.177,78.008,17,1895-11-20T00:00:00Z,1895-11-21T00:00:00Z
Delhi,0.267,4,0.258,28.627,77.172,18,1895-11-22T00:00:00Z,1895-11-23T00:00:00Z
Jeypore,0.127,6,0.204,18.899,82.559,19,1895-11-28T00:00:00Z,1895-12-02T00:00:00Z
Bombay,0.172,12,0.143,18.973,72.828,20,1895-12-04T00:00:00Z,1895-12-16T00:00:00Z
Aden,0.182,6,0.163,12.79,45.029,21,1895-12-17T11:00:00Z,1895-12-17T23:00:00Z
Ismalia,0.131,12,0.176,30.596,32.272,22,1895-12-21T12:30:00Z,1895-12-21T18:00:00Z
Cairo,0.069,21,0.229,30.044,31.236,23,1895-12-22T18:00:00Z,1895-12-24T00:00:00Z
Luxor,0.178,6,0.134,25.702,32.647,24,1896-01-01T00:00:00Z,1896-01-18T00:00:00Z
Brindisi,-0.123,3,0.198,40.636,17.688,25,1896-02-01T00:00:00Z,1896-02-02T00:00:00Z
Marseilles,0.012,6,0.226,43.303,5.369,26,1896-02-07T00:00:00Z,1896-02-08T00:00:00Z
Paris,0.264,13,0.31,48.853,2.348,27,1896-02-09T00:00:00Z,1896-02-15T00:00:00Z
London,0.168,14,0.139,51.507,-0.128,28,1896-02-16T00:00:00Z,1896-02-28T00:00:00Z
New York,0.196,2,0.006,40.713,-74.006,29,1896-03-10T00:00:00Z,1896-03-11T00:00:00Z
